#Test Grids,#Train Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
10,10,0,0.008978003646308115,0.04217909314087511,0.01517924327256667,0.15589454897367302
20,20,0,0.008822465815861442,0.041392544189188696,0.012827080572890961,0.15121655493294356
30,30,0,0.005446946216955337,0.04078346668488403,0.009360547714647451,0.13311473417530154
50,50,0,0.004617019143117595,0.04034924559301732,0.006444598544873144,0.13539667676129336
75,75,0,0.004090787754481931,0.040389026330381855,0.006440994888738422,0.1006721726168719
100,100,0,0.0035177711941659067,0.04074300237515041,0.008539463223232189,0.12520731765269028
10,10,1,0.008978003646308115,0.04217909314087511,0.01517924327256667,0.15589454897367302
20,20,1,0.006940403372835015,0.0409607909986691,0.009453692389316598,0.1365560829936455
30,30,1,0.0049370229413552135,0.04061079977513015,0.008234302232690094,0.09489064268794976
50,50,1,0.008487575205104831,0.04106281642255241,0.011139631535041855,0.14588706121118797
75,75,1,0.007656333181403833,0.04113121479589385,0.009519522232238186,0.13654794652350138
100,100,1,0.008542383773928897,0.041371690752543294,0.013314732273669016,0.1386400788323529
10,10,2,0.008978003646308115,0.04217909314087511,0.01517924327256667,0.15589454897367302
20,20,2,0.008520505925250686,0.0411931524389608,0.010276979539101925,0.13354009660083022
30,30,2,0.006641327863871164,0.040863300220790044,0.009686465954268282,0.13837833725719595
50,50,2,0.007271531449407474,0.04086514604880583,0.008416064263159766,0.1421803287203339
75,75,2,0.007102965663931936,0.04082849255138863,0.0075363440381041365,0.12571811167011832
100,100,2,0.006069503190519599,0.04089786436238833,0.007259421058297358,0.13405514143401276
10,10,3,0.008978003646308115,0.04217909314087511,0.01517924327256667,0.15589454897367302
20,20,3,0.008544434822242482,0.041189850023281675,0.008798533084488264,0.13419288042268682
30,30,3,0.008180373746581584,0.04117502026535603,0.009034344110176382,0.13484039625426952
50,50,3,0.00819313582497721,0.040944998282169555,0.00890206494272337,0.1391620035410335
75,75,3,0.005685159525979944,0.04060290115262433,0.006920294351040953,0.1294047222448385
100,100,3,0.003088646308113036,0.040666936030574294,0.006962180559266056,0.11348698914294754
10,10,4,0.008978003646308115,0.04217909314087511,0.01517924327256667,0.15589454897367302
20,20,4,0.009144077028258908,0.04123724974980857,0.011512975302259228,0.13027048399581181
30,30,4,0.006122599361896083,0.040417564527485066,0.009324847429726583,0.12444744687868506
50,50,4,0.008433792160437556,0.04127612508253418,0.014027740835035883,0.15275434131195195
75,75,4,0.004006618808872694,0.04039583412132685,0.007641360369939842,0.10531750812274777
100,100,4,0.006055826344576121,0.04094841636785779,0.008602816331848447,0.12704822116340087
10,10,5,0.009347192342752966,0.04214379961307202,0.011644036540774845,0.13971570465261338
20,20,5,0.004785917046490424,0.04101508019648131,0.006995279175078641,0.14274139665284016
30,30,5,0.005571184898207236,0.04033802568417502,0.007522062233979566,0.12589622700254025
50,50,5,0.007498058340929809,0.04091006528308114,0.00990865491669341,0.1322182610186502
75,75,5,0.006216041476754792,0.04075275434820825,0.008128980331419513,0.13484649208891322
100,100,5,0.008323605287146764,0.04127586481817685,0.012411571734723717,0.14584937191704392
10,10,6,0.008978003646308115,0.04217909314087511,0.01517924327256667,0.15589454897367302
20,20,6,0.006820758887876036,0.040825782110793074,0.008298437171322287,0.14054310422543925
30,30,6,0.006872461106046799,0.04043894657954624,0.008662753877077982,0.13023321030131266
50,50,6,0.007271075660893346,0.040935611864667286,0.009202816021946588,0.14006605236419822
75,75,6,0.006230626709206933,0.040597271799844015,0.006778214664927936,0.1335066741685268
100,100,6,0.006652228805834094,0.04087793318645396,0.007526924480079744,0.14111263850705158
10,10,7,0.008978003646308115,0.04217909314087511,0.01517924327256667,0.15589454897367302
20,20,7,0.006443593892433919,0.04070797354196901,0.008112317594598394,0.13228275093489852
30,30,7,0.006142583561227591,0.040544494639912894,0.008553392117828533,0.09670419739555865
50,50,7,0.006175704193254334,0.04055716519192343,0.006680479891159029,0.14002798751127452
75,75,7,0.005416588422971746,0.040661455594030185,0.007002010629866643,0.13792504881443202
100,100,7,0.004105170920692802,0.04049690392483136,0.008171164461160268,0.11962238800389878
10,10,8,0.008978003646308115,0.04217909314087511,0.01517924327256667,0.15589454897367302
20,20,8,0.006581289881495003,0.040649945738869646,0.008010007555129484,0.14110452322473307
30,30,8,0.003900863719234277,0.040318821794779705,0.0063784660893486875,0.13322193752033026
50,50,8,0.0071210095715588,0.04075155680541477,0.008674230562711029,0.14001591251839304
75,75,8,0.007120285627468854,0.04080092203786691,0.0074535525606517945,0.14417183105876336
100,100,8,0.004117588878760256,0.04065613655928897,0.008257852240013578,0.12065592693204129
10,10,9,0.008978003646308115,0.04217909314087511,0.01517924327256667,0.15589454897367302
20,20,9,0.005383885597082963,0.04106571169146764,0.0080657564121342,0.14716782767859088
30,30,9,0.006169586751747187,0.04093358832977414,0.008169522103561972,0.13834121790666196
50,50,9,0.0076506358249772135,0.041032620706964444,0.009814211752696304,0.1429790474229934
75,75,9,0.008495855363111515,0.04128798671932138,0.014966275127675462,0.15343310863893234
100,100,9,0.008504553327256154,0.041308991892014583,0.013794632512139792,0.14866178401748867
