#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
/,1,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
/,2,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
/,3,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
/,4,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
/,5,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
/,6,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
/,7,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
/,8,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
/,9,0.008473072104451711,0.0413866363698832,0.0168521551582539,0.15512911190137432
