#Test Grids,#Train Grids,Fold,MC Error,Loss,#LS,MA Error,Group smECE
20,100,1,0.005321778374157158,0.030306800388670316,4,0.0029921723592198097,0.005154824814458056
30,100,1,0.006900245606316986,0.03026556337030304,5,0.006042736651820146,0.006456019214810245
50,100,1,0.005344020137733294,0.030223481775387084,8,0.004039854115418641,0.004845032722689653
75,100,1,0.005818317921705067,0.030188094091904084,11,0.003060403273342124,0.005239008576264896
100,100,1,0.005406297395919891,0.03018319919364878,14,0.0034657649575399797,0.005071229350021304
10,10,2,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,10,2,,,,,
30,10,2,,,,,
50,10,2,,,,,
75,10,2,,,,,
100,10,2,,,,,
10,20,2,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,20,2,0.006257842288790585,0.030422184289818174,4,0.0021706270725334272,0.0058298086039038815
30,20,2,,,,,
50,20,2,,,,,
75,20,2,,,,,
100,20,2,,,,,
10,30,2,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,30,2,0.006509451889048766,0.03043307264444155,4,0.002826501757281023,0.006076685071265107
30,30,2,0.003181315797983755,0.03030609540312782,5,0.002235334459709326,0.003124647095490853
50,30,2,,,,,
75,30,2,,,,,
100,30,2,,,,,
10,50,2,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,50,2,0.0063288731341392904,0.03043512576725336,4,0.0026660900313163266,0.005901271696564998
30,50,2,0.004390569114436849,0.030348659480570497,5,0.0028959517380865254,0.004210572287078835
50,50,2,0.0025118440772890094,0.030217467478288292,7,0.002288906156999139,0.002370636822070751
75,50,2,,,,,
100,50,2,,,,,
10,75,2,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,75,2,0.006245355459993651,0.03043276207459712,4,0.0023376624208247005,0.0058223006837516906
30,75,2,0.0041558167330545195,0.030334850328621474,5,0.0030426719764504815,0.00404824838637674
50,75,2,0.002421426629795321,0.030247444448093536,8,0.002375132512468418,0.002383909758359953
75,75,2,0.002514315829040595,0.03021986604868513,11,0.002476042097902498,0.002475848657113615
100,75,2,,,,,
10,100,2,0.017976054744817626,0.031138288112676826,2,0.007956871453860686,0.016579702871897986
20,100,2,0.005181221506417453,0.030377705565293307,4,0.0037438314265305413,0.005033256427048728
30,100,2,0.0036746015661047026,0.03027131264780126,5,0.0027003247536012505,0.0036421593950890503
50,100,2,0.003038231147850164,0.03019944430977789,8,0.002816196121334835,0.002866302899009777
75,100,2,0.0027490554034190215,0.030211850401087773,11,0.0026621022504787427,0.002683113134701413
100,100,2,0.0027851951675332207,0.03018427837583194,14,0.002554131203272446,0.0025982644004534598
10,10,3,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,10,3,,,,,
30,10,3,,,,,
50,10,3,,,,,
75,10,3,,,,,
100,10,3,,,,,
10,20,3,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,20,3,0.006257842288790585,0.030422184289818174,4,0.0021706270725334272,0.0058298086039038815
30,20,3,,,,,
50,20,3,,,,,
75,20,3,,,,,
100,20,3,,,,,
10,30,3,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,30,3,0.006509451889048766,0.03043307264444155,4,0.002826501757281023,0.006076685071265107
30,30,3,0.003181315797983755,0.03030609540312782,5,0.002235334459709326,0.003124647095490853
50,30,3,,,,,
75,30,3,,,,,
100,30,3,,,,,
10,50,3,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,50,3,0.0063288731341392904,0.03043512576725336,4,0.0026660900313163266,0.005901271696564998
30,50,3,0.004390569114436849,0.030348659480570497,5,0.0028959517380865254,0.004210572287078835
50,50,3,0.0025118440772890094,0.030217467478288292,7,0.002288906156999139,0.002370636822070751
75,50,3,,,,,
100,50,3,,,,,
10,75,3,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,75,3,0.006245355459993651,0.03043276207459712,4,0.0023376624208247005,0.0058223006837516906
30,75,3,0.004289866041941428,0.030297130500401823,5,0.0037009679853718383,0.004247000520499267
50,75,3,0.003588616942833956,0.030264508884292406,8,0.0024220829887448836,0.0032707186997973543
75,75,3,0.0028700047481965874,0.030206149918274396,11,0.002870004748196691,0.0028697805290757382
100,75,3,,,,,
10,100,3,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,100,3,0.006257842288790585,0.030422184289818174,4,0.0021706270725334272,0.0058298086039038815
30,100,3,0.003206201407425841,0.03030096513081783,5,0.0028846015308852083,0.0032017103308823246
50,100,3,0.0033873884950202993,0.03023555826777925,8,0.0032308612934241507,0.003297928852286994
75,100,3,0.003092023765957025,0.0302333987828001,11,0.002520283892855321,0.002738623556667323
100,100,3,0.0033250888245763763,0.030204278465480964,14,0.002246707079167454,0.0028406935748146217
10,10,4,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,10,4,,,,,
30,10,4,,,,,
50,10,4,,,,,
75,10,4,,,,,
100,10,4,,,,,
10,20,4,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,20,4,0.006257842288790585,0.030422184289818174,4,0.0021706270725334272,0.0058298086039038815
30,20,4,,,,,
50,20,4,,,,,
75,20,4,,,,,
100,20,4,,,,,
10,30,4,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,30,4,0.006509451889048766,0.03043307264444155,4,0.002826501757281023,0.006076685071265107
30,30,4,0.003181315797983755,0.03030609540312782,5,0.002235334459709326,0.003124647095490853
50,30,4,,,,,
75,30,4,,,,,
100,30,4,,,,,
10,50,4,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,50,4,0.0063288731341392904,0.03043512576725336,4,0.0026660900313163266,0.005901271696564998
30,50,4,0.004390569114436849,0.030348659480570497,5,0.0028959517380865254,0.004210572287078835
50,50,4,0.0025118440772890094,0.030217467478288292,7,0.002288906156999139,0.002370636822070751
75,50,4,,,,,
100,50,4,,,,,
10,75,4,0.01940653304479097,0.031325808263697005,2,0.009859912188777792,0.017691353558419134
20,75,4,0.007376402006729398,0.03048204342558234,4,0.007099146381172934,0.007333092320052169
30,75,4,0.0070438041155941366,0.030367704562611626,5,0.006077371592976772,0.006715519885461989
50,75,4,0.0048672858212699364,0.030272766071983207,8,0.004645249193879148,0.004649332905339456
75,75,4,0.002891158716879292,0.03021165471006827,11,0.002753294521708033,0.002794206404549363
100,75,4,,,,,
10,100,4,0.018877283608859152,0.03127288332010386,2,0.007512388374954492,0.017258317762095517
20,100,4,0.006421579833579351,0.03044500316900683,4,0.004866741523604427,0.006146544682806505
30,100,4,0.0052554180830411065,0.0303161777169436,5,0.003689385651224946,0.005089333416400703
50,100,4,0.003038231147850164,0.0302263633512633,8,0.002816196121334835,0.0028981097302940755
75,100,4,0.0027490554034190215,0.030227268838456136,11,0.0026621022504787427,0.002683113134701413
100,100,4,0.0027851951675332207,0.030199681007222996,14,0.002554131203272446,0.0025982644004534598
10,10,5,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,10,5,,,,,
30,10,5,,,,,
50,10,5,,,,,
75,10,5,,,,,
100,10,5,,,,,
10,20,5,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,20,5,0.006257842288790585,0.030422184289818174,4,0.0021706270725334272,0.0058298086039038815
30,20,5,,,,,
50,20,5,,,,,
75,20,5,,,,,
100,20,5,,,,,
10,30,5,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,30,5,0.006509451889048766,0.03043307264444155,4,0.002826501757281023,0.006076685071265107
30,30,5,0.003181315797983755,0.03030609540312782,5,0.002235334459709326,0.003124647095490853
50,30,5,,,,,
75,30,5,,,,,
100,30,5,,,,,
10,50,5,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,50,5,0.0063288731341392904,0.03043512576725336,4,0.0026660900313163266,0.005901271696564998
30,50,5,0.004390569114436849,0.030348659480570497,5,0.0028959517380865254,0.004210572287078835
50,50,5,0.0025118440772890094,0.030217467478288292,7,0.002288906156999139,0.002370636822070751
75,50,5,,,,,
100,50,5,,,,,
10,75,5,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,75,5,0.006245355459993651,0.03043276207459712,4,0.0023376624208247005,0.0058223006837516906
30,75,5,0.0042582647598322695,0.0302892093684932,5,0.0036693667032626776,0.0042154217728450774
50,75,5,0.004234077132102497,0.030276622260855778,8,0.00229637103939402,0.00403632804778323
75,75,5,0.002971573894331417,0.030214225502649985,11,0.002857364235353027,0.002857141003772141
100,75,5,,,,,
10,100,5,0.017976054744817626,0.031138288112676826,2,0.007956871453860686,0.016579702871897986
20,100,5,0.005181221506417453,0.030377705565293307,4,0.0037438314265305413,0.005033256427048728
30,100,5,0.0036746015661047026,0.03027131264780126,5,0.0027003247536012505,0.0036421593950890503
50,100,5,0.003038231147850164,0.03019944430977789,8,0.002816196121334835,0.002866302899009777
75,100,5,0.0027490554034190215,0.030211850401087773,11,0.0026621022504787427,0.002683113134701413
100,100,5,0.0027851951675332207,0.03018427837583194,14,0.002554131203272446,0.0025982644004534598
10,10,6,0.01842090602508473,0.03122724556172656,2,0.009647540046700738,0.017032545149800928
20,10,6,,,,,
30,10,6,,,,,
50,10,6,,,,,
75,10,6,,,,,
