#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
/,1,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
/,2,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
/,3,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
/,4,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
/,5,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
/,6,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
/,7,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
/,8,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
/,9,0.0022772506369773604,0.03019014705441942,0.0024636421197619103,0.07238304667184348
