#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
/,1,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
/,2,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
/,3,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
/,4,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
/,5,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
/,6,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
/,7,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
/,8,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
/,9,0.00441051138095067,0.058928409947698275,0.006627359079024714,0.11928403330491821
