eta,subsample,Loss,MC ERR,#Output
0.01,0.1,0.001529867082729478,,
0.01,0.2,0.001217669156179853,,
0.01,0.30000000000000004,0.0010549240707084372,,
0.01,0.4,0.0010086475098937564,,
0.01,0.5,0.0009760208749110714,,
0.01,0.6,0.0009505015552016677,,
0.01,0.7000000000000001,0.0009249072507303635,,
0.01,0.8,0.0009018648900886205,,
0.01,0.9,0.0008902583269988736,,
0.01,1.0,0.000885556820868133,,
0.03162277660168379,0.1,0.0013601926357853199,,
0.03162277660168379,0.2,0.0011703802673215735,,
0.03162277660168379,0.30000000000000004,0.0010290840706254345,,
0.03162277660168379,0.4,0.0010023326555204768,,
0.03162277660168379,0.5,0.0009645131013334924,,
0.03162277660168379,0.6,0.0009343871551116871,,
0.03162277660168379,0.7000000000000001,0.0009143237457880886,,
0.03162277660168379,0.8,0.0008893784659506349,,
0.03162277660168379,0.9,0.000876013437352482,,
0.03162277660168379,1.0,0.0008641263882238395,,
0.1,0.1,0.001257656191885626,,
0.1,0.2,0.0011470839620969357,,
0.1,0.30000000000000004,0.0010292235122637643,,
0.1,0.4,0.0009862366490882087,,
0.1,0.5,0.0009577279129823156,,
0.1,0.6,0.0009305169701766321,,
0.1,0.7000000000000001,0.0009094758333208048,,
0.1,0.8,0.0008892078832684919,,
0.1,0.9,0.000873791331813447,,
0.1,1.0,0.0008669614629744232,,
0.31622776601683794,0.1,0.0012555588142051618,,
0.31622776601683794,0.2,0.0011505192520109076,,
0.31622776601683794,0.30000000000000004,0.0010418313969452306,,
0.31622776601683794,0.4,0.0010085743981370547,,
0.31622776601683794,0.5,0.0009623402715456288,,
0.31622776601683794,0.6,0.0009437520989805735,,
0.31622776601683794,0.7000000000000001,0.0009224281719566746,,
0.31622776601683794,0.8,0.0009087728805634073,,
0.31622776601683794,0.9,0.000890547464769256,,
0.31622776601683794,1.0,0.0008798267560438538,,
1.0,0.1,0.0017217624305550677,,
1.0,0.2,0.001449621385509162,,
1.0,0.30000000000000004,0.0012157907588462033,,
1.0,0.4,0.0011665424805584847,,
1.0,0.5,0.0010777922716420367,,
1.0,0.6,0.0010425370210489704,,
1.0,0.7000000000000001,0.001009017651785651,,
1.0,0.8,0.00098382259735607,,
1.0,0.9,0.0009575234370045786,,
1.0,1.0,0.0009332411415891292,,
