es_ratio,n_grid,Loss,MC ERR,#Output
0.1,10.0,0.16512733333333335,0.019351333333333266,8.4
0.1,20.0,0.15990713333333334,0.01583416666666664,18.6
0.1,30.0,0.15849988148148147,0.0158628888888889,26.8
0.1,50.0,0.15852372266666664,0.01904326666666666,42.5
0.1,75.0,0.15975154251851853,0.022528622222222232,63.9
0.1,100.0,0.16232812133333335,0.029147199999999995,87.8
0.2,10.0,0.1652864,0.01990433333333328,8.3
0.2,20.0,0.16008256666666668,0.015633166666666667,18.2
0.2,30.0,0.15796995555555554,0.016724222222222234,27.4
0.2,50.0,0.158376032,0.019173266666666668,42.6
0.2,75.0,0.15984415525925927,0.023309066666666683,64.2
0.2,100.0,0.16212597066666667,0.027864499999999997,87.6
0.30000000000000004,10.0,0.16379573333333333,0.018067333333333293,8.7
0.30000000000000004,20.0,0.15897343333333333,0.0146945,18.1
0.30000000000000004,30.0,0.15817478518518518,0.017882222222222206,27.5
0.30000000000000004,50.0,0.15956023466666666,0.021882400000000003,43.3
0.30000000000000004,75.0,0.1609541688888889,0.024452000000000033,63.1
0.30000000000000004,100.0,0.16304752933333333,0.02819973333333332,85.9
0.4,10.0,0.16431079999999998,0.02019700000000001,8.3
0.4,20.0,0.1593368,0.016836499999999956,17.8
0.4,30.0,0.15909294814814814,0.017818111111111097,26.9
0.4,50.0,0.160409056,0.02194726666666667,42.3
0.4,75.0,0.16194733274074075,0.02666857777777778,63.7
0.4,100.0,0.164539584,0.029593266666666666,84.7
0.5,10.0,0.164248,0.019005666666666678,8.5
0.5,20.0,0.15943646666666667,0.017007166666666643,18.1
0.5,30.0,0.1591893037037037,0.020100333333333345,27.5
0.5,50.0,0.16060153066666666,0.023455799999999992,42.1
0.5,75.0,0.16295666962962962,0.02564137777777779,61.7
0.5,100.0,0.16525550266666666,0.031137966666666662,82.9
