eta,subsample,Loss,MC ERR,#Output
0.01,0.1,0.14382711694671094,,
0.01,0.2,0.14383319970916508,,
0.01,0.30000000000000004,0.14379893640512537,,
0.01,0.4,0.14381727609553946,,
0.01,0.5,0.14377775942159152,,
0.01,0.6,0.1438098423095649,,
0.01,0.7000000000000001,0.14380020072114164,,
0.01,0.8,0.14378409550611196,,
0.01,0.9,0.14381750210311017,,
0.01,1.0,0.14382589464255863,,
0.03162277660168379,0.1,0.143861611489783,,
0.03162277660168379,0.2,0.14386242226397503,,
0.03162277660168379,0.30000000000000004,0.14378857507007597,,
0.03162277660168379,0.4,0.14381992027174775,,
0.03162277660168379,0.5,0.1438061986265123,,
0.03162277660168379,0.6,0.14378178141751305,,
0.03162277660168379,0.7000000000000001,0.14378323314176156,,
0.03162277660168379,0.8,0.14377367898499527,,
0.03162277660168379,0.9,0.1437920198733176,,
0.03162277660168379,1.0,0.1438245834470481,,
0.1,0.1,0.14387618724853826,,
0.1,0.2,0.14394673809805494,,
0.1,0.30000000000000004,0.14383059380323737,,
0.1,0.4,0.14381576832872303,,
0.1,0.5,0.1437898282038195,,
0.1,0.6,0.14381799325232475,,
0.1,0.7000000000000001,0.1437959151820308,,
0.1,0.8,0.1438271592371086,,
0.1,0.9,0.1437813248472528,,
0.1,1.0,0.14380532879239635,,
0.31622776601683794,0.1,0.14411205028230134,,
0.31622776601683794,0.2,0.1441794155978246,,
0.31622776601683794,0.30000000000000004,0.14403858874468506,,
0.31622776601683794,0.4,0.14409682135846838,,
0.31622776601683794,0.5,0.14400064814069558,,
0.31622776601683794,0.6,0.14392384960008042,,
0.31622776601683794,0.7000000000000001,0.14389039739623846,,
0.31622776601683794,0.8,0.1439022777259819,,
0.31622776601683794,0.9,0.1439447428457799,,
0.31622776601683794,1.0,0.14390007362635454,,
1.0,0.1,0.14572178380774134,,
1.0,0.2,0.14511388029644132,,
1.0,0.30000000000000004,0.14452155123780464,,
1.0,0.4,0.144480056286436,,
1.0,0.5,0.14438104361434814,,
1.0,0.6,0.14422302503256995,,
1.0,0.7000000000000001,0.14403640086981678,,
1.0,0.8,0.14423879089801145,,
1.0,0.9,0.144127716908068,,
1.0,1.0,0.14405595261407378,,
