eta,subsample,Loss,MC ERR,#Output
0.01,0.1,0.030550424720661367,,
0.01,0.2,0.03054939996188908,,
0.01,0.30000000000000004,0.03054953262071819,,
0.01,0.4,0.030549148599964854,,
0.01,0.5,0.030549376573560938,,
0.01,0.6,0.03054922441065297,,
0.01,0.7000000000000001,0.030549347145520305,,
0.01,0.8,0.030548980551597438,,
0.01,0.9,0.030549354260860632,,
0.01,1.0,0.030549449469003842,,
0.03162277660168379,0.1,0.030551125103983758,,
0.03162277660168379,0.2,0.030550138801767844,,
0.03162277660168379,0.30000000000000004,0.0305504841270334,,
0.03162277660168379,0.4,0.03054897207730714,,
0.03162277660168379,0.5,0.030550205229619414,,
0.03162277660168379,0.6,0.030549149506858154,,
0.03162277660168379,0.7000000000000001,0.030549839536912336,,
0.03162277660168379,0.8,0.030550038942100156,,
0.03162277660168379,0.9,0.030550088208777297,,
0.03162277660168379,1.0,0.03055009378236262,,
0.1,0.1,0.03056647948070884,,
0.1,0.2,0.03055692115352676,,
0.1,0.30000000000000004,0.03055357300991867,,
0.1,0.4,0.030550977296579067,,
0.1,0.5,0.03055409491774024,,
0.1,0.6,0.030553907522165503,,
0.1,0.7000000000000001,0.03055504783228085,,
0.1,0.8,0.03055296192058727,,
0.1,0.9,0.030551962549954414,,
0.1,1.0,0.03055187991378225,,
0.31622776601683794,0.1,0.03060775669866119,,
0.31622776601683794,0.2,0.030600338870460087,,
0.31622776601683794,0.30000000000000004,0.030578259409353874,,
0.31622776601683794,0.4,0.030572440652069377,,
0.31622776601683794,0.5,0.03057785157845966,,
0.31622776601683794,0.6,0.030577203512680545,,
0.31622776601683794,0.7000000000000001,0.030580166213387366,,
0.31622776601683794,0.8,0.030569506389835088,,
0.31622776601683794,0.9,0.03057004029606014,,
0.31622776601683794,1.0,0.030568054823751085,,
1.0,0.1,0.030944511794717737,,
1.0,0.2,0.03082121273924257,,
1.0,0.30000000000000004,0.03082235623484499,,
1.0,0.4,0.030752085786018245,,
1.0,0.5,0.03075831805089322,,
1.0,0.6,0.030744048867009766,,
1.0,0.7000000000000001,0.030739160905338216,,
1.0,0.8,0.030712343003863486,,
1.0,0.9,0.030697421701796644,,
1.0,1.0,0.03069123570455687,,
