es_ratio,n_grid,Loss,MC ERR,#Output
0.1,10.0,0.03193061764163439,0.018382548463357205,2.0
0.1,20.0,0.03116050771255638,0.006696708037825111,4.0
0.1,30.0,0.03100491551397482,0.004335813238770677,5.0
0.1,50.0,0.030936292724376712,0.0031605673758865367,7.0
0.1,75.0,0.030920058675519342,0.003943316312056741,10.4
0.1,100.0,0.03089658320191808,0.003499963829787233,14.1
0.2,10.0,0.03193061764163439,0.018382548463357205,2.0
0.2,20.0,0.03116050771255638,0.006696708037825111,4.0
0.2,30.0,0.03100491551397482,0.004335813238770677,5.0
0.2,50.0,0.030934680733832976,0.0030974680851063915,7.0
0.2,75.0,0.030916911378435025,0.003954852955082749,10.5
0.2,100.0,0.030910760383951175,0.003653177541371159,14.1
0.30000000000000004,10.0,0.03193061764163439,0.018382548463357205,2.0
0.30000000000000004,20.0,0.03116050771255638,0.006696708037825111,4.0
0.30000000000000004,30.0,0.03100491551397482,0.004335813238770677,5.0
0.30000000000000004,50.0,0.030936162946598934,0.003144689834515376,7.0
0.30000000000000004,75.0,0.030922364692855826,0.003927093144208042,10.6
0.30000000000000004,100.0,0.030906237386315243,0.003941363356973994,14.1
0.4,10.0,0.03193061764163439,0.018382548463357205,2.0
0.4,20.0,0.03116050771255638,0.006696708037825111,4.0
0.4,30.0,0.03100491551397482,0.004335813238770677,5.0
0.4,50.0,0.03093105868182352,0.0032889002364066312,7.0
0.4,75.0,0.030922233565984274,0.0037909607565011854,10.4
0.4,100.0,0.030914196157000823,0.0040049222222222226,14.1
0.5,10.0,0.03193061764163439,0.018382548463357205,2.0
0.5,20.0,0.03116050771255638,0.006696708037825111,4.0
0.5,30.0,0.03101188856362021,0.004486546099290783,5.0
0.5,50.0,0.030950424733832978,0.0040321900709220084,7.0
0.5,75.0,0.030912086666063078,0.0037004293144208013,10.6
0.5,100.0,0.030922056223194678,0.004299566430260046,14.1
