eta,subsample,Loss,MC ERR,#Output
0.01,0.1,0.03061565237743801,,
0.01,0.2,0.03059454636863585,,
0.01,0.30000000000000004,0.030568871403060048,,
0.01,0.4,0.03056239539572649,,
0.01,0.5,0.03055939443085188,,
0.01,0.6,0.03055783628883203,,
0.01,0.7000000000000001,0.03055402563327688,,
0.01,0.8,0.03056200990207992,,
0.01,0.9,0.030558618140225084,,
0.01,1.0,0.03058813317954396,,
0.03162277660168379,0.1,0.030614055524831606,,
0.03162277660168379,0.2,0.030605866482355405,,
0.03162277660168379,0.30000000000000004,0.03056894598551385,,
0.03162277660168379,0.4,0.030561691687339475,,
0.03162277660168379,0.5,0.030566645469863755,,
0.03162277660168379,0.6,0.030559433741640402,,
0.03162277660168379,0.7000000000000001,0.03055877387325902,,
0.03162277660168379,0.8,0.030552409954567455,,
0.03162277660168379,0.9,0.030557807614896786,,
0.03162277660168379,1.0,0.0305796515816025,,
0.1,0.1,0.030649339378765256,,
0.1,0.2,0.030652848516652627,,
0.1,0.30000000000000004,0.030615511233739883,,
0.1,0.4,0.030567060371614035,,
0.1,0.5,0.030576820286688622,,
0.1,0.6,0.03055049383651915,,
0.1,0.7000000000000001,0.030552471798480103,,
0.1,0.8,0.030549188720543064,,
0.1,0.9,0.030558386995198993,,
0.1,1.0,0.030575173927325772,,
0.31622776601683794,0.1,0.030845921367184715,,
0.31622776601683794,0.2,0.030778598412984654,,
0.31622776601683794,0.30000000000000004,0.030674775766557676,,
0.31622776601683794,0.4,0.0306447508441453,,
0.31622776601683794,0.5,0.030628018736896162,,
0.31622776601683794,0.6,0.030617746765654645,,
0.31622776601683794,0.7000000000000001,0.030603272489744225,,
0.31622776601683794,0.8,0.03060345378439605,,
0.31622776601683794,0.9,0.030573573161188326,,
0.31622776601683794,1.0,0.030598795403630058,,
1.0,0.1,0.03117315938923019,,
1.0,0.2,0.03104929924605416,,
1.0,0.30000000000000004,0.030887643328894553,,
1.0,0.4,0.03089733320086826,,
1.0,0.5,0.03080193729041398,,
1.0,0.6,0.030788959875208084,,
1.0,0.7000000000000001,0.030759817060808096,,
1.0,0.8,0.0307479964684532,,
1.0,0.9,0.030692103923367707,,
1.0,1.0,0.030683374831377,,
