eta,subsample,Loss,MC ERR,#Output
0.01,0.1,0.051238152971755914,,
0.01,0.2,0.05122737019495051,,
0.01,0.30000000000000004,0.05121739506533922,,
0.01,0.4,0.05122220820629492,,
0.01,0.5,0.05122893324276998,,
0.01,0.6,0.05123387678158446,,
0.01,0.7000000000000001,0.051244138812345554,,
0.01,0.8,0.0512506419200092,,
0.01,0.9,0.051259015810116916,,
0.01,1.0,0.05128206860077319,,
0.03162277660168379,0.1,0.05128295785931193,,
0.03162277660168379,0.2,0.051267426491876135,,
0.03162277660168379,0.30000000000000004,0.05124251015049645,,
0.03162277660168379,0.4,0.051239810870632896,,
0.03162277660168379,0.5,0.05124932023863386,,
0.03162277660168379,0.6,0.05125142008163367,,
0.03162277660168379,0.7000000000000001,0.051250813435838025,,
0.03162277660168379,0.8,0.05125910573400376,,
0.03162277660168379,0.9,0.05126945843763005,,
0.03162277660168379,1.0,0.05128153462052978,,
0.1,0.1,0.05135015627478956,,
0.1,0.2,0.05129273626499632,,
0.1,0.30000000000000004,0.051281127469426466,,
0.1,0.4,0.051287177402454795,,
0.1,0.5,0.051250303112063425,,
0.1,0.6,0.051252502691048196,,
0.1,0.7000000000000001,0.05125820726810606,,
0.1,0.8,0.05127916960803649,,
0.1,0.9,0.05128717564772558,,
0.1,1.0,0.05129337482032581,,
0.31622776601683794,0.1,0.051689697811430665,,
0.31622776601683794,0.2,0.051477923607732824,,
0.31622776601683794,0.30000000000000004,0.051440191889934005,,
0.31622776601683794,0.4,0.05135737517919856,,
0.31622776601683794,0.5,0.05138752667238701,,
0.31622776601683794,0.6,0.051383471034647445,,
0.31622776601683794,0.7000000000000001,0.05139076996331954,,
0.31622776601683794,0.8,0.05131699073411483,,
0.31622776601683794,0.9,0.05130842806526394,,
0.31622776601683794,1.0,0.05133706124536077,,
1.0,0.1,0.05267269238818538,,
1.0,0.2,0.052356934304079436,,
1.0,0.30000000000000004,0.052037618905243124,,
1.0,0.4,0.05181292510630571,,
1.0,0.5,0.05176775239287934,,
1.0,0.6,0.05173270657431188,,
1.0,0.7000000000000001,0.05172920848459038,,
1.0,0.8,0.051718828762420864,,
1.0,0.9,0.05177022132084175,,
1.0,1.0,0.05165113975771783,,
