es_ratio,n_grid,Loss,MC ERR,#Output
0.1,10.0,0.058427609372099745,0.003624677703379083,10.0
0.1,20.0,0.05768892546369149,0.003920393326355889,20.0
0.1,30.0,0.05803512905440176,0.005695057233009388,30.0
0.1,50.0,0.05778754197324153,0.004895894234468658,48.0
0.1,75.0,0.05780229294884507,0.005339714483066379,71.0
0.1,100.0,0.05781107030297513,0.0053429361870103,97.0
0.2,10.0,0.058391261611411685,0.0036508936480742897,10.0
0.2,20.0,0.05759497764015786,0.0035841840185618,20.0
0.2,30.0,0.058017849112516964,0.005749119582059261,30.0
0.2,50.0,0.05779883856737256,0.005005585057418867,48.0
0.2,75.0,0.05776909106807941,0.0052711676967313265,71.0
0.2,100.0,0.05787959522421221,0.005436462298495401,97.0
0.30000000000000004,10.0,0.058418055657179294,0.0036159008885477462,10.0
0.30000000000000004,20.0,0.05761436269795093,0.003674276784032022,20.0
0.30000000000000004,30.0,0.05798470535339887,0.0056923534734823495,30.0
0.30000000000000004,50.0,0.05765148085463506,0.004470143190745188,48.0
0.30000000000000004,75.0,0.05783226404058127,0.005276470315883597,71.0
0.30000000000000004,100.0,0.05781895751162044,0.005333626985630049,97.0
0.4,10.0,0.05844938243485124,0.003663891122637049,10.0
0.4,20.0,0.05756735048618409,0.003662503287685844,20.0
0.4,30.0,0.057935180343855044,0.005600744602945269,30.0
0.4,50.0,0.057670840862423176,0.004720334875482122,48.0
0.4,75.0,0.057888967329515276,0.005655351890280909,71.0
0.4,100.0,0.057667322714711054,0.005178249572134988,97.0
0.5,10.0,0.05839619351303156,0.003659003448267333,10.0
0.5,20.0,0.05779235757467234,0.004137068082446176,20.0
0.5,30.0,0.05791764823322636,0.005549199785887282,30.0
0.5,50.0,0.057901522556206134,0.00490585045744805,48.0
0.5,75.0,0.05775108620318938,0.005148291192930306,71.0
0.5,100.0,0.05779846231768236,0.0052903931749136044,97.0
