#Test Grids,Fold,MC Error,MA Error,#LS,Loss,Group smECE
10,0,0.06498058072868515,0.03990197891621969,10,0.1889213057148141,0.05960945852051554
20,0,0.06936841131866117,0.03708618457555019,20,0.18964941279822453,0.06426901801134437
30,0,0.07098514271623219,0.036085937981628735,30,0.1903757988615581,0.06592914545643133
50,0,0.07417606805992219,0.03548548178287405,50,0.1908408914370261,0.0671412284286266
75,0,0.07423340114666163,0.035084150175698145,75,0.190993296755235,0.06765425248263238
100,0,0.07684575550212688,0.034957462548548174,100,0.1910296976142038,0.06794577558219339
10,1,0.06370445718513049,0.03971703347512481,10,0.1871310338450157,0.058579550389667556
20,1,0.0679628259663401,0.0369197336785648,20,0.18840750416127244,0.06370563310086183
30,1,0.07046113063313006,0.03619690524628567,30,0.18888390563672608,0.06501032727075759
50,1,0.07240429073423327,0.035407804697614204,50,0.18924902903643423,0.06615249783791173
75,1,0.07376240675667332,0.035057024844337564,75,0.1894921644781456,0.06674661774080441
100,1,0.07582208248566656,0.034876086554466425,100,0.1896195626040318,0.06707311326110132
10,2,0.061984464582948116,0.03784908452006656,10,0.1859362862955428,0.057710206330783435
20,2,0.06662197151840227,0.03491307564268538,20,0.18701948862585538,0.06254128029006745
30,2,0.07027002034399865,0.03424881326675295,30,0.18771505044900644,0.06420149772130652
50,2,0.07329572776031064,0.03333641575735157,50,0.18818418716478638,0.06549227664783654
75,2,0.074881943160101,0.03300782935700632,75,0.188332712738631,0.06606091814057537
100,2,0.07559552432032549,0.03279914925097096,100,0.1884883253190309,0.06636544879591919
10,3,0.06414832624375821,0.03908821897540223,10,0.18740105418901423,0.058980899473826225
20,3,0.06836045866469409,0.03622618827445901,20,0.18795161364897356,0.06243722950473941
30,3,0.0700542506627213,0.03548178287405214,30,0.18876718451390173,0.06427457456274815
50,3,0.07207508784908441,0.03483817273904198,50,0.1889926206769003,0.06538490091059695
75,3,0.07373281548609814,0.03441588064854199,75,0.18914292172697944,0.06597912216265815
100,3,0.07588218975402254,0.03425836878120954,100,0.1892635426299242,0.06627677728062545
10,4,0.06559090068429826,0.04186240059182538,10,0.18912474570001847,0.06020855188140639
20,4,0.06961808766413927,0.03909284261142961,20,0.18968177825041613,0.06374783407527959
30,4,0.07115775846125408,0.03830528327476726,30,0.19041402091938436,0.06539162613912614
50,4,0.07293323469576463,0.037530978361383395,50,0.1906161457370076,0.06649614853498988
75,4,0.07493126194439295,0.03726404044140309,75,0.19086421305714818,0.06713658890054248
100,4,0.07810523395598298,0.03717865729609764,100,0.19089716571111523,0.06730172170496253
10,5,0.06686702422785291,0.04324949140003696,10,0.1907115775846125,0.06126767154598846
20,5,0.07128259663399318,0.04064638431662657,20,0.19140177085259852,0.06493259568401173
30,5,0.0725201898773197,0.03954441773010293,30,0.19166096418223294,0.06609220826909713
50,5,0.07554096541520239,0.038932864804882554,50,0.191868744220455,0.06729695622729234
75,5,0.076386166081006,0.03866469391529496,75,0.19202359903828373,0.06776005440292894
100,5,0.07873959681893843,0.03846772702052895,100,0.1922039162197152,0.06811186378857192
10,6,0.06707046421305723,0.042990567782504124,10,0.19216524875161825,0.06157585796574144
20,6,0.0720686147586464,0.04043369705936747,20,0.19334647216571113,0.06575254243314305
30,6,0.07478885395475017,0.03969853893101534,30,0.19362919466535147,0.06688822032166822
50,6,0.07727205474385047,0.03894766044017015,50,0.1939990197891622,0.06825464789606035
75,6,0.07839344060168907,0.03869675112508474,75,0.19414614799745186,0.06878166350145136
100,6,0.07910948770112819,0.03851581283521361,100,0.19431299704087293,0.06905211153334571
10,7,0.06760680599223239,0.04463658220824854,10,0.19323423340114665,0.061928053597763835
20,7,0.07235528019234344,0.042227667837987766,20,0.1941158452006658,0.06645373986176908
30,7,0.07398125886196918,0.0415479933419641,30,0.19454159217475292,0.06782894004427167
50,7,0.07669132605881251,0.04092287775106344,50,0.19483230996855927,0.0688568601890017
75,7,0.07710622033166876,0.040839652302570716,75,0.19504361835480755,0.0693801340711735
100,7,0.07914092842611432,0.04063713704457184,100,0.19515786480488254,0.06965650194775433
10,8,0.06707046421305725,0.04343443684113184,10,0.19164000369890882,0.06124434819193961
20,8,0.07171721842056614,0.041145737007582735,20,0.19307090345847977,0.06630554750498643
30,8,0.07345108193083057,0.0403458479748474,30,0.1936074122022892,0.06796222552242219
50,8,0.07593674865914543,0.03969484002219345,50,0.1940701867948955,0.06906473244965226
75,8,0.07737747364527453,0.039399543801245274,75,0.19420072745206834,0.06962149504389148
100,8,0.07892454226003334,0.039246347327538365,100,0.19429431755132237,0.06986716181711022
10,9,0.06509154799334206,0.04141853153319768,10,0.1901345478083965,0.060354600099750126
20,9,0.06964582948030346,0.03861198446458292,20,0.1910087617902719,0.06516023896858288
30,9,0.0718852105295606,0.037768941495592116,30,0.19207359801080906,0.06690416976682814
50,9,0.07376363972628082,0.03702792676160532,50,0.1923243018309599,0.0680801122107924
75,9,0.07565871401269948,0.03674619320633744,75,0.19252770277212664,0.06858123566972975
100,9,0.07657481043092275,0.03652210098021083,100,0.19258061309413724,0.06891530511403365
