es_ratio,n_grid,Loss,MC ERR,#Output
0.1,10.0,0.15932636839201972,0.03412109342318158,10.0
0.1,20.0,0.15255720537331127,0.02999042295753341,19.2
0.1,30.0,0.15492539728907978,0.032441287962045165,28.7
0.1,50.0,0.15560287167837275,0.03867928597865253,45.3
0.1,75.0,0.15722068554356033,0.04245400032237222,66.1
0.1,100.0,0.16138629266763946,0.049233072233117646,87.8
0.2,10.0,0.15766919903742116,0.03525972505243273,9.9
0.2,20.0,0.15032487092112895,0.026369680326834382,19.3
0.2,30.0,0.15205343840839516,0.029023819737214667,28.7
0.2,50.0,0.1537212517098253,0.036704839411845616,44.7
0.2,75.0,0.15960933161590565,0.04725872567496091,63.9
0.2,100.0,0.16319893530103277,0.05392203841806949,90.3
0.30000000000000004,10.0,0.15795533240025014,0.034072321037338905,10.0
0.30000000000000004,20.0,0.15335484827471785,0.029162028193860094,19.8
0.30000000000000004,30.0,0.1541518983957177,0.03430263647996022,28.5
0.30000000000000004,50.0,0.15561887388487342,0.03963065419341481,44.5
0.30000000000000004,75.0,0.16150184081840316,0.047455616768459705,66.0
0.30000000000000004,100.0,0.16456003815998263,0.05176359054097553,91.7
0.4,10.0,0.15791702933539803,0.03603861517976032,9.9
0.4,20.0,0.1505359635856487,0.028035471164467994,19.4
0.4,30.0,0.15339179687210724,0.03269723175867274,28.5
0.4,50.0,0.15614423320840226,0.039384621427730714,44.5
0.4,75.0,0.16317760255981809,0.04866812358105417,67.2
0.4,100.0,0.16710497474010513,0.05540931590679946,92.8
0.5,10.0,0.15631869697343548,0.034299220847177084,9.7
0.5,20.0,0.15220149821537204,0.030277708706460266,19.5
0.5,30.0,0.15305584740796832,0.03642165315492252,29.1
0.5,50.0,0.16069863115278316,0.044323560137778654,45.9
0.5,75.0,0.16410863489299402,0.04925586360535971,66.8
0.5,100.0,0.16930697417997162,0.060424300471221194,95.1
