eta,subsample,Loss,MC ERR,#Output
0.01,0.1,0.13183694151616976,,
0.01,0.2,0.1265825333296924,,
0.01,0.30000000000000004,0.12465535921354816,,
0.01,0.4,0.12417998302804614,,
0.01,0.5,0.12384730518947595,,
0.01,0.6,0.12380965019315945,,
0.01,0.7000000000000001,0.12390731153024362,,
0.01,0.8,0.12389782562930167,,
0.01,0.9,0.12406396225723353,,
0.01,1.0,0.1244415884678594,,
0.03162277660168379,0.1,0.131132467030659,,
0.03162277660168379,0.2,0.12630775917730652,,
0.03162277660168379,0.30000000000000004,0.12439034917317522,,
0.03162277660168379,0.4,0.12391546240092366,,
0.03162277660168379,0.5,0.12364498314133235,,
0.03162277660168379,0.6,0.12375190778941372,,
0.03162277660168379,0.7000000000000001,0.12381908135037152,,
0.03162277660168379,0.8,0.12391858642109185,,
0.03162277660168379,0.9,0.1238582123768164,,
0.03162277660168379,1.0,0.12441716948983297,,
0.1,0.1,0.1313071406530213,,
0.1,0.2,0.12614030087888936,,
0.1,0.30000000000000004,0.12434966028675047,,
0.1,0.4,0.1240790600562531,,
0.1,0.5,0.12386684154963737,,
0.1,0.6,0.12387913855915486,,
0.1,0.7000000000000001,0.12400011929555499,,
0.1,0.8,0.12385706372017877,,
0.1,0.9,0.12390260179192539,,
0.1,1.0,0.12426212021412408,,
0.31622776601683794,0.1,0.13404013313302734,,
0.31622776601683794,0.2,0.12804511253705206,,
0.31622776601683794,0.30000000000000004,0.126012574080348,,
0.31622776601683794,0.4,0.12539882048734627,,
0.31622776601683794,0.5,0.12480379537252903,,
0.31622776601683794,0.6,0.12462376144614788,,
0.31622776601683794,0.7000000000000001,0.12483745225355247,,
0.31622776601683794,0.8,0.12471745660456861,,
0.31622776601683794,0.9,0.1242908057276694,,
0.31622776601683794,1.0,0.12449588509350007,,
1.0,0.1,0.14235816930520623,,
1.0,0.2,0.13609073882972492,,
1.0,0.30000000000000004,0.1316251754943177,,
1.0,0.4,0.12914723423996757,,
1.0,0.5,0.12819394411581575,,
1.0,0.6,0.127294203084232,,
1.0,0.7000000000000001,0.12733721055861863,,
1.0,0.8,0.12740739282292177,,
1.0,0.9,0.126921914845847,,
1.0,1.0,0.1261655162722425,,
