eta,subsample,Loss,MC ERR,#Output
0.01,0.1,0.12322274659333152,,
0.01,0.2,0.12326981871244296,,
0.01,0.30000000000000004,0.12322596673143274,,
0.01,0.4,0.1232347347915197,,
0.01,0.5,0.12328949309799564,,
0.01,0.6,0.1232795478608916,,
0.01,0.7000000000000001,0.12329004018535042,,
0.01,0.8,0.12326917137673998,,
0.01,0.9,0.12328124752044736,,
0.01,1.0,0.12331824614795887,,
0.03162277660168379,0.1,0.1231751712729477,,
0.03162277660168379,0.2,0.12339529127566295,,
0.03162277660168379,0.30000000000000004,0.12337459168032272,,
0.03162277660168379,0.4,0.12335070256770034,,
0.03162277660168379,0.5,0.1232902137864734,,
0.03162277660168379,0.6,0.12327504376964515,,
0.03162277660168379,0.7000000000000001,0.12335057873504258,,
0.03162277660168379,0.8,0.12327940825276414,,
0.03162277660168379,0.9,0.12336055860595911,,
0.03162277660168379,1.0,0.12330228403420833,,
0.1,0.1,0.12359548514969405,,
0.1,0.2,0.12364276086585466,,
0.1,0.30000000000000004,0.12359683176775513,,
0.1,0.4,0.12337878185930291,,
0.1,0.5,0.12343395057686783,,
0.1,0.6,0.1232740308056226,,
0.1,0.7000000000000001,0.12341134023166098,,
0.1,0.8,0.12354685806665366,,
0.1,0.9,0.12337288214702442,,
0.1,1.0,0.12336953131531221,,
0.31622776601683794,0.1,0.1238655688505432,,
0.31622776601683794,0.2,0.12373292001949296,,
0.31622776601683794,0.30000000000000004,0.12372691070978059,,
0.31622776601683794,0.4,0.1235446372619577,,
0.31622776601683794,0.5,0.1236762550178913,,
0.31622776601683794,0.6,0.12344860784447594,,
0.31622776601683794,0.7000000000000001,0.12347755794285291,,
0.31622776601683794,0.8,0.12366140276304323,,
0.31622776601683794,0.9,0.12360585864344804,,
0.31622776601683794,1.0,0.1233537722160094,,
1.0,0.1,0.12772917760343447,,
1.0,0.2,0.1262493815000178,,
1.0,0.30000000000000004,0.1253884120754603,,
1.0,0.4,0.12557698529429798,,
1.0,0.5,0.1256661183839009,,
1.0,0.6,0.1252444509741954,,
1.0,0.7000000000000001,0.12476673456725258,,
1.0,0.8,0.12459719374750841,,
1.0,0.9,0.12485034182389576,,
1.0,1.0,0.12437592582124699,,
