lr,feature_subsample,tree_depth,n_grid,Loss,MC ERR,#Output
0.1,0.8,1.0,20.0,0.04142321775433334,0.016779716666666666,19.9
0.1,0.8,1.0,30.0,0.0411495030247037,0.017459127555555547,29.0
0.1,0.8,1.0,50.0,0.04068717366766667,0.017672894,47.3
0.1,0.8,1.0,75.0,0.04009454182618519,0.015653343111111103,69.0
0.1,0.8,1.0,100.0,0.03967668248766666,0.013775331333333331,88.3
0.1,0.8,2.0,10.0,0.042122243321,0.015405810000000006,10.0
0.1,0.8,2.0,20.0,0.041291757021,0.016718634,19.9
0.1,0.8,2.0,30.0,0.040762702876555555,0.01770496866666666,29.7
0.1,0.8,2.0,50.0,0.039843017667666666,0.016981948000000004,48.0
0.1,0.8,2.0,75.0,0.039424208309148154,0.01393442266666666,70.5
0.1,0.8,2.0,100.0,0.039177779221,0.012444833999999998,92.6
0.1,0.9,1.0,10.0,0.042166235721,0.01545091666666667,10.0
0.1,0.9,1.0,20.0,0.04146434095433334,0.016791514666666667,19.9
0.1,0.9,1.0,30.0,0.04117052511359259,0.017564802222222214,29.1
0.1,0.9,1.0,50.0,0.040766526441,0.01777247666666667,47.2
0.1,0.9,1.0,75.0,0.04025418266174074,0.01570084688888888,68.7
0.1,0.9,1.0,100.0,0.040019417821000006,0.014336472666666664,88.0
0.1,0.9,2.0,10.0,0.042138944521,0.015413810000000005,10.0
0.1,0.9,2.0,20.0,0.041321586221,0.016777187333333332,19.9
0.1,0.9,2.0,30.0,0.040877633172851854,0.017656672444444434,29.8
0.1,0.9,2.0,50.0,0.040011701561,0.016779889333333332,48.7
0.1,0.9,2.0,75.0,0.03955335882174074,0.013695451555555547,71.5
0.1,0.9,2.0,100.0,0.039542685647666664,0.012785930000000001,92.9
0.1,1.0,1.0,10.0,0.04216794238766667,0.015451210000000003,10.0
0.1,1.0,1.0,20.0,0.041467858621,0.016828808,19.8
0.1,1.0,1.0,30.0,0.041208226595074074,0.017495270222222213,29.5
0.1,1.0,1.0,50.0,0.040910445801,0.017982840666666666,48.0
0.1,1.0,1.0,75.0,0.040543586347666666,0.016323481333333327,68.6
0.1,1.0,1.0,100.0,0.040293745941,0.015329873333333332,88.4
0.1,1.0,2.0,10.0,0.04212934425433333,0.01538599666666667,10.0
0.1,1.0,2.0,20.0,0.041394494621,0.016751264666666668,20.0
0.1,1.0,2.0,30.0,0.041048720002481484,0.017819757333333325,29.9
0.1,1.0,2.0,50.0,0.040539851907666666,0.017449889333333336,48.9
0.1,1.0,2.0,75.0,0.0402648241372963,0.015478249111111102,71.2
0.1,1.0,2.0,100.0,0.040252872567666666,0.015384732666666668,92.9
0.3,0.1,1.0,10.0,0.04163441238766667,0.014614134000000004,9.3
0.3,0.1,1.0,20.0,0.03974685608766667,0.01437998133333333,18.1
0.3,0.1,1.0,30.0,0.03874398874322223,0.010321793333333325,28.7
0.3,0.1,1.0,50.0,0.038419899801,0.008934605333333335,46.8
0.3,0.1,1.0,75.0,0.03866929947359259,0.010219455777777778,67.6
0.3,0.1,1.0,100.0,0.038824502207666665,0.010818001999999998,83.8
0.3,0.1,2.0,10.0,0.041143931721000004,0.01493261133333334,9.5
0.3,0.1,2.0,20.0,0.038869390021,0.01159111333333333,19.9
0.3,0.1,2.0,30.0,0.03844788672840741,0.009431719999999998,29.5
0.3,0.1,2.0,50.0,0.03876143910766667,0.009718725333333334,48.2
0.3,0.1,2.0,75.0,0.03924016975507408,0.012123756222222228,69.9
0.3,0.1,2.0,100.0,0.03979854595433334,0.013800229333333334,89.8
0.3,0.2,1.0,10.0,0.04151475518766666,0.014631262000000006,9.2
0.3,0.2,1.0,20.0,0.039582845687666665,0.013747966666666661,18.7
0.3,0.2,1.0,30.0,0.03863988958766666,0.010472364666666657,28.3
0.3,0.2,1.0,50.0,0.038458192121000004,0.008648265333333332,46.0
0.3,0.2,1.0,75.0,0.03856946451655556,0.009577222444444446,65.0
0.3,0.2,1.0,100.0,0.038921722021000006,0.010347265999999999,81.2
0.3,0.2,2.0,10.0,0.04105275038766666,0.014693664000000004,9.8
0.3,0.2,2.0,20.0,0.038778737221,0.012189169333333331,19.6
0.3,0.2,2.0,30.0,0.03850013443211111,0.00880158733333333,29.7
0.3,0.2,2.0,50.0,0.038726012601,0.00990751,47.6
0.3,0.2,2.0,75.0,0.03922848246025926,0.011547741111111119,69.3
0.3,0.2,2.0,100.0,0.03964209599433333,0.012667839333333337,87.9
0.3,0.30000000000000004,1.0,10.0,0.041335229587666666,0.014483447333333335,9.2
0.3,0.30000000000000004,1.0,20.0,0.03964822188766666,0.014280591999999995,18.8
0.3,0.30000000000000004,1.0,30.0,0.038798075113592595,0.011081695111111104,28.6
0.3,0.30000000000000004,1.0,50.0,0.038499932921,0.008429925333333334,44.9
0.3,0.30000000000000004,1.0,75.0,0.03881306199211111,0.009292808888888891,61.2
0.3,0.30000000000000004,1.0,100.0,0.038879132287666665,0.010339453333333333,81.2
0.3,0.30000000000000004,2.0,10.0,0.04106769478766667,0.014929244666666674,9.9
0.3,0.30000000000000004,2.0,20.0,0.03886793475433333,0.011809359333333333,19.9
0.3,0.30000000000000004,2.0,30.0,0.03855785142470371,0.009531248444444442,29.6
0.3,0.30000000000000004,2.0,50.0,0.038560872841,0.008693997333333335,47.5
0.3,0.30000000000000004,2.0,75.0,0.03905192842174074,0.010400946888888896,67.7
0.3,0.30000000000000004,2.0,100.0,0.039335120647666665,0.011491608666666667,87.6
0.3,0.4,1.0,10.0,0.04140131265433333,0.014587295333333337,9.3
0.3,0.4,1.0,20.0,0.039791394487666665,0.014303968,18.3
0.3,0.4,1.0,30.0,0.038907001261740744,0.01134777688888888,28.4
0.3,0.4,1.0,50.0,0.038557971241,0.008565690666666667,45.5
0.3,0.4,1.0,75.0,0.03882242355062963,0.009151711777777778,61.7
0.3,0.4,1.0,100.0,0.039067074461,0.00946960066666667,76.6
0.3,0.4,2.0,10.0,0.040997256254333335,0.014754150000000004,9.9
0.3,0.4,2.0,20.0,0.03891583355433333,0.012197975999999996,19.5
0.3,0.4,2.0,30.0,0.038512292165444446,0.00935220533333333,29.7
0.3,0.4,2.0,50.0,0.038638075854333334,0.008751334666666666,47.0
0.3,0.4,2.0,75.0,0.03908337839507407,0.010321587111111112,67.4
0.3,0.4,2.0,100.0,0.03931237776766667,0.011648220666666667,85.7
0.3,0.5,1.0,10.0,0.04136828225433333,0.014454203333333337,9.2
0.3,0.5,1.0,20.0,0.039869940821,0.014778024,18.9
0.3,0.5,1.0,30.0,0.03912987343951852,0.011487398666666659,27.6
0.3,0.5,1.0,50.0,0.03881312702766666,0.008757280000000001,44.4
0.3,0.5,1.0,75.0,0.0389163002084074,0.009491579111111115,62.7
0.3,0.5,1.0,100.0,0.039033409527666665,0.009056651333333332,76.5
0.3,0.5,2.0,10.0,0.04116561718766667,0.014704774000000007,9.9
0.3,0.5,2.0,20.0,0.039014773020999996,0.012535736666666658,19.8
0.3,0.5,2.0,30.0,0.038540824461740744,0.008879282888888885,29.5
0.3,0.5,2.0,50.0,0.03869529217433333,0.008725579333333332,47.3
0.3,0.5,2.0,75.0,0.03908582952396296,0.010085822000000001,66.3
0.3,0.5,2.0,100.0,0.03939052892766667,0.011142459333333335,85.2
0.3,0.6,1.0,10.0,0.04135776185433333,0.014335694666666671,9.4
0.3,0.6,1.0,20.0,0.03998662088766667,0.014503895333333332,18.3
0.3,0.6,1.0,30.0,0.03933556083211111,0.011737829999999994,27.7
0.3,0.6,1.0,50.0,0.038897166654333334,0.008693124666666666,43.3
0.3,0.6,1.0,75.0,0.03901470008988889,0.008943601333333336,59.9
0.3,0.6,1.0,100.0,0.03928426351433333,0.009694819333333335,74.5
0.3,0.6,2.0,10.0,0.04108924078766667,0.014852356000000002,10.0
0.3,0.6,2.0,20.0,0.039129584620999996,0.013286743333333328,19.6
0.3,0.6,2.0,30.0,0.03867048375062963,0.009124065111111107,29.2
0.3,0.6,2.0,50.0,0.03875310166766667,0.009095603999999998,46.5
0.3,0.6,2.0,75.0,0.03933279449581482,0.010141668444444444,66.8
0.3,0.6,2.0,100.0,0.039325643341,0.010193855333333333,86.0
0.3,0.7000000000000001,1.0,10.0,0.04137935238766667,0.014268854000000003,9.6
0.3,0.7000000000000001,1.0,20.0,0.040126510754333336,0.014844809333333337,18.8
0.3,0.7000000000000001,1.0,30.0,0.03941546477285185,0.01210174244444444,27.5
0.3,0.7000000000000001,1.0,50.0,0.038921931641,0.008810824000000002,43.6
0.3,0.7000000000000001,1.0,75.0,0.03926135905285185,0.009421625555555552,58.8
0.3,0.7000000000000001,1.0,100.0,0.03932696007433333,0.009416193999999998,73.2
0.3,0.7000000000000001,2.0,10.0,0.04126749798766667,0.01496710666666667,10.0
0.3,0.7000000000000001,2.0,20.0,0.03917751455433333,0.012861557999999992,19.8
0.3,0.7000000000000001,2.0,30.0,0.03873984985433333,0.009633341999999993,29.3
0.3,0.7000000000000001,2.0,50.0,0.03882870081433333,0.009163740666666666,47.2
0.3,0.7000000000000001,2.0,75.0,0.039203110721,0.010041897999999997,66.8
0.3,0.7000000000000001,2.0,100.0,0.039477860527666664,0.010799220666666665,83.3
0.3,0.8,1.0,10.0,0.04138301158766667,0.014355962000000005,9.7
0.3,0.8,1.0,20.0,0.04014379075433333,0.014769921999999996,18.6
0.3,0.8,1.0,30.0,0.039447854743222224,0.011749113777777771,27.7
0.3,0.8,1.0,50.0,0.03918895630766667,0.009139267333333336,43.5
0.3,0.8,1.0,75.0,0.03941438942322222,0.00941079111111111,59.5
0.3,0.8,1.0,100.0,0.03953955236766667,0.010051544666666665,73.6
0.3,0.8,2.0,10.0,0.041241284654333334,0.014733616666666671,10.0
0.3,0.8,2.0,20.0,0.03930616348766667,0.013551303999999997,19.4
0.3,0.8,2.0,30.0,0.038841626995074076,0.009751931999999993,29.1
0.3,0.8,2.0,50.0,0.03907108438766667,0.009340728666666666,46.6
0.3,0.8,2.0,75.0,0.03934490503803704,0.00998557511111111,65.2
0.3,0.8,2.0,100.0,0.039614120020999996,0.011104926666666667,84.2
0.3,0.9,1.0,10.0,0.04138864705433333,0.014338200000000004,9.4
0.3,0.9,1.0,20.0,0.040327706221,0.015226555333333332,18.5
0.3,0.9,1.0,30.0,0.03962738755803703,0.012278199111111105,27.8
0.3,0.9,1.0,50.0,0.039264663081000004,0.009555366666666665,42.3
0.3,0.9,1.0,75.0,0.03961568647803704,0.009508236444444446,58.5
0.3,0.9,1.0,100.0,0.039669486500999995,0.010353751999999999,74.6
0.3,0.9,2.0,10.0,0.04125778945433333,0.014776700000000007,9.9
0.3,0.9,2.0,20.0,0.03936675655433333,0.013884143333333326,19.3
0.3,0.9,2.0,30.0,0.03892135265433333,0.009836317333333329,29.3
0.3,0.9,2.0,50.0,0.03909002534766667,0.00990816333333333,46.0
0.3,0.9,2.0,75.0,0.03948976986766667,0.010308727777777773,65.0
0.3,0.9,2.0,100.0,0.03973361851433334,0.010959108666666665,84.3
0.3,1.0,1.0,10.0,0.041419059721000004,0.014264131333333338,9.6
0.3,1.0,1.0,20.0,0.040531708421,0.015400761333333336,18.5
0.3,1.0,1.0,30.0,0.03996181884692593,0.013013478222222213,27.4
0.3,1.0,1.0,50.0,0.039696272787666666,0.010597404666666668,42.5
0.3,1.0,1.0,75.0,0.04004415533729629,0.011672213999999993,60.0
0.3,1.0,1.0,100.0,0.040150434687666665,0.012089567999999998,77.0
0.3,1.0,2.0,10.0,0.041360555454333335,0.014699404666666669,10.0
0.3,1.0,2.0,20.0,0.03967778948766666,0.014115580666666664,19.3
0.3,1.0,2.0,30.0,0.039331264787666666,0.011237883555555547,29.0
0.3,1.0,2.0,50.0,0.039543995641,0.011292315333333329,46.7
0.3,1.0,2.0,75.0,0.039951158963962966,0.011758151999999996,66.5
0.3,1.0,2.0,100.0,0.04028158508766667,0.013583259333333333,85.9
1.0,0.1,1.0,10.0,0.039895378121,0.008478170000000004,9.0
