#Test Grids,Fold,MA Error,Loss,Group smECE,Group smECE-no-groupsize
/,0,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
/,1,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
/,2,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
/,3,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
/,4,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
/,5,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
/,6,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
/,7,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
/,8,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
/,9,0.03236275014261853,0.18316729655317934,0.06797642311707379,0.2818113829593926
